"time","winner","loser","behav"
199,"1","2","T"
202,"1","2","T"
222,"1","4","T"
2584,"1","3","B"
2765,"4","2","T"
2814,"4","2","B"
2831,"1","2","C"
2832,"1","2","T"
2835,"1","2","T"
2838,"1","4","T"
2847,"1","2","T"
2848,"1","2","T"
2872,"1","2","T"
2876,"2","4","T"
2877,"2","3","T"
2882,"2","3","C"
2885,"2","3","C"
2888,"2","4","T"
2894,"2","3","T"
2897,"2","3","C"
2903,"2","3","T"
3009,"2","3","T"
3011,"2","3","C"
3019,"4","3","T"
3024,"3","2","T"
3025,"2","3","T"
3026,"2","3","T"
3030,"3","2","C"
3032,"3","2","T"
3033,"3","2","C"
3035,"3","2","C"
3036,"3","2","T"
3038,"3","2","C"
3041,"3","2","T"
3062,"3","2","T"
3063,"1","3","T"
3067,"2","3","C"
3071,"2","3","C"
3084,"2","4","T"
3109,"2","4","C"
3116,"2","1","T"
3119,"2","1","C"
3120,"2","1","B"
3124,"2","1","C"
3128,"2","4","T"
3131,"2","4","C"
3134,"2","3","T"
3135,"2","3","C"
3136,"2","4","T"
3145,"2","4","C"
3154,"2","4","T"
3155,"2","4","T"
3158,"2","1","T"
3182,"2","1","T"
3186,"2","1","T"
3238,"4","1","T"
3240,"4","1","T"
3242,"4","1","T"
3243,"4","1","T"
3254,"4","1","T"
3255,"4","1","C"
3261,"2","1","T"
3304,"4","1","T"
3306,"2","1","T"
3329,"3","1","C"
3332,"2","1","T"
3333,"3","1","C"
3337,"2","1","T"
3476,"1","3","T"
3476,"3","4","T"
3477,"3","4","T"
3478,"3","1","T"
3491,"3","4","T"
3497,"1","3","L"
3498,"3","4","C"
3520,"2","1","T"
3522,"2","1","T"
3526,"2","1","C"
3528,"3","4","T"
3538,"4","1","T"
3539,"3","1","T"
3652,"2","1","T"
3652,"2","1","T"
3654,"3","4","T"
3664,"3","1","T"
3665,"1","2","T"
3665,"2","1","T"
3668,"3","4","T"
3670,"3","1","C"
3675,"3","1","T"
4340,"4","1","T"
4342,"3","1","T"
4342,"1","4","T"
4348,"3","2","L"
4379,"3","2","L"
4387,"3","2","L"
4394,"3","2","L"
4408,"2","4","C"
4437,"2","3","C"
4439,"2","3","C"
4441,"2","3","C"
4443,"2","3","C"
4748,"2","3","C"
4753,"2","3","C"
4758,"2","1","C"
4762,"2","1","C"
4763,"2","1","T"
4767,"2","4","C"
4770,"2","4","C"
4771,"2","1","C"
4777,"2","1","T"
4907,"2","1","C"
4908,"2","1","T"
4910,"3","1","C"
4912,"2","4","T"
4913,"3","4","T"
4914,"4","3","T"
4914,"2","3","T"
4918,"2","1","C"
4920,"2","1","C"
4923,"2","1","C"
4929,"4","1","T"
4931,"2","1","C"
4932,"1","2","T"
4939,"2","4","T"
4942,"2","3","T"
5139,"2","3","T"
5355,"2","4","C"
5357,"2","4","T"
5358,"2","1","C"
5360,"1","2","C"
5360,"2","1","C"
5362,"2","1","T"
5415,"1","4","T"
5418,"1","4","C"
5419,"1","4","C"
5421,"1","4","C"
5515,"1","4","T"
5517,"1","4","C"
5520,"1","4","C"
5522,"1","4","C"
5523,"1","4","T"
5542,"1","4","T"
5544,"1","4","T"
5546,"1","4","C"
5548,"1","3","T"
5566,"2","3","T"
5689,"1","3","T"
5692,"1","3","C"
5693,"1","3","C"
5695,"1","3","C"
5696,"2","3","C"
5698,"1","3","C"
5699,"2","3","T"
5700,"1","3","C"
5701,"2","3","T"
5704,"2","3","C"
5707,"1","3","C"
5726,"1","3","C"
5727,"1","3","T"
5798,"2","1","B"
5806,"2","1","B"
5807,"2","1","L"
5809,"2","1","L"
5818,"2","1","B"
5833,"2","1","L"
5840,"2","1","L"
5851,"2","1","L"
5852,"2","1","B"
5854,"2","1","B"
5869,"2","1","L"
5879,"2","1","L"
5906,"2","1","L"
5912,"2","1","L"
5978,"2","1","L"
6024,"2","1","L"
6029,"2","3","C"
6032,"1","4","T"
6034,"1","4","C"
6036,"1","4","C"
6045,"1","4","C"
6047,"1","4","C"
6052,"1","4","C"
6054,"1","4","T"
6056,"2","4","T"
6057,"1","3","C"
6059,"1","3","C"
6066,"4","3","C"
6067,"1","4","C"
6074,"1","4","C"
6076,"1","4","T"
6081,"1","4","C"
6085,"1","4","C"
6085,"2","3","T"
